tableName,shape,colName,dataType,strLength,uniqueValues
LoanStatus,"(827, 12)",account_id,bigint(20),,1447; 1583; 8645; 8713; 8899; 8931; 8982; 9031; 9199; 9263
LoanStatus,"(827, 12)",client_id,bigint(20),,1755; 1917; 10662; 10746; 10963; 11004; 11063; 11064; 11123; 11327
LoanStatus,"(827, 12)",loanDate,date,,1997-06-03; 1996-08-24; 1998-12-08; 1998-07-24; 1995-12-25; 1997-01-30; 1994-10-12; 1997-05-03; 1996-09-11; 1997-05-08
LoanStatus,"(827, 12)",loanAmount,bigint(20),,100080; 388512; 240900; 170700; 125340; 186300; 227880; 50112; 29448; 39576
LoanStatus,"(827, 12)",loanDuration,bigint(20),,48; 60; 36; 24; 12
LoanStatus,"(827, 12)",loanPayments,double,,2085.0; 8094.0; 4015.0; 2845.0; 2089.0; 3105.0; 6330.0; 2088.0; 2454.0; 3298.0
LoanStatus,"(827, 12)",LoanStatus_A,bigint(20),,0; 1
LoanStatus,"(827, 12)",LoanStatus_B,bigint(20),,0; 1
LoanStatus,"(827, 12)",LoanStatus_C,bigint(20),,1; 0
LoanStatus,"(827, 12)",LoanStatus_D,bigint(20),,0; 1
LoanStatus,"(827, 12)",diff,double,,97995.0; 380418.0; 236885.0; 167855.0; 123251.0; 183195.0; 221550.0; 48024.0; 26994.0; 36278.0
LoanStatus,"(827, 12)",perLeft,double,,2.0; 3.0; 4.0; 8.0
account,"(4500, 4)",account_id,int(11),,2; 17; 22; 36; 49; 50; 57; 71; 72; 75
account,"(4500, 4)",district_id,int(11),,1; 2; 3; 4; 5; 6; 7; 8; 9; 10
account,"(4500, 4)",frequency,varchar(50),50,monthly_issuance; weekly_issuance; issuance_after_transaction
account,"(4500, 4)",date,date,,1995-03-24; 1993-02-26; 1997-07-07; 1996-02-21; 1997-05-30; 1994-09-27; 1996-11-24; 1995-09-21; 1993-01-27; 1996-08-28
account_client_junction,"(5369, 2)",account_id,int(11),,1; 2; 3; 4; 5; 6; 7; 8; 9; 10
account_client_junction,"(5369, 2)",client_id,int(11),,1; 6; 7; 8; 9; 12; 13; 14; 19
card,"(892, 4)",card_id,int(11),,1; 2; 3; 4; 5; 7; 8; 9; 10; 11
card,"(892, 4)",disp_id,int(11),,9; 19; 41; 42; 51; 56; 60; 76; 77; 79
card,"(892, 4)",type,varchar(7),7,gold; classic; junior
card,"(892, 4)",issued,date,,1998-10-16; 1998-03-13; 1995-09-03; 1998-11-26; 1995-04-24; 1998-06-11; 1998-05-20; 1997-10-25; 1996-12-07; 1996-09-11
