tableName,shape,colName,dataType,strLength,uniqueValues
account,"(4500, 4)",account_id,int(11),,2; 17; 22; 36; 49; 50; 57; 71; 72; 75
account,"(4500, 4)",district_id,int(11),,1; 2; 3; 4; 5; 6; 7; 8; 9; 10
account,"(4500, 4)",frequency,varchar(50),50,monthly_issuance; weekly_issuance; issuance_after_transaction
account,"(4500, 4)",date,date,,1995-03-24; 1993-02-26; 1997-07-07; 1996-02-21; 1997-05-30; 1994-09-27; 1996-11-24; 1995-09-21; 1993-01-27; 1996-08-28
card,"(892, 4)",card_id,int(11),,1; 2; 3; 4; 5; 7; 8; 9; 10; 11
card,"(892, 4)",disp_id,int(11),,9; 19; 41; 42; 51; 56; 60; 76; 77; 79
card,"(892, 4)",type,varchar(7),7,gold; classic; junior
card,"(892, 4)",issued,date,,1998-10-16; 1998-03-13; 1995-09-03; 1998-11-26; 1995-04-24; 1998-06-11; 1998-05-20; 1997-10-25; 1996-12-07; 1996-09-11
client,"(5369, 4)",client_id,int(11),,2; 3; 22; 23; 28; 58; 59; 66; 77; 83
client,"(5369, 4)",gender,varchar(1),1,F; M
client,"(5369, 4)",birth_date,date,,1970-12-13; 1945-02-04; 1940-10-09; 1956-12-01; 1960-07-03; 1919-09-22; 1929-01-25; 1938-02-21; 1935-10-16; 1943-05-01
client,"(5369, 4)",district_id,int(11),,1; 2; 3; 4; 5; 6; 7; 8; 9; 10
disp,"(5369, 4)",disp_id,int(11),,1; 2; 3; 4; 5; 6; 7; 8; 9; 10
disp,"(5369, 4)",client_id,int(11),,1; 2; 3; 4; 5; 6; 7; 8; 9; 10
disp,"(5369, 4)",account_id,int(11),,1; 2; 3; 4; 5; 6; 7; 8; 9; 10
disp,"(5369, 4)",type,varchar(50),50,OWNER; AUTHORIZED_PERSON
district,"(77, 16)",district_id,int(11),,1; 2; 3; 4; 5; 6; 7; 8; 9; 10
district,"(77, 16)",district name,varchar(255),255,Hl.m. Praha; Benesov; Beroun; Kladno; Kolin; Kutna Hora; Melnik; Mlada Boleslav; Nymburk; Praha - vychod; Praha - zapad; Pribram; Rakovnik; Ceske Budejovice; Cesky Krumlov; Jindrichuv Hradec; Pelhrimov; Pisek; Prachatice; Strakonice; Tabor; Domazlice; Cheb; Karlovy Vary; Klatovy; Plzen - mesto; Plzen - jih; Plzen - sever; Rokycany; Sokolov; Tachov; Ceska Lipa; Decin; Chomutov; Jablonec n. Nisou; Liberec; Litomerice; Louny; Most; Teplice; Usti nad Labem; Havlickuv Brod; Hradec Kralove; Chrudim; Jicin; Nachod; Pardubice; Rychnov nad Kneznou; Semily; Svitavy; Trutnov; Usti nad Orlici; Blansko; Brno - mesto; Brno - venkov; Breclav; Hodonin; Jihlava; Kromeriz; Prostejov; Trebic; Uherske Hradiste; Vyskov; Zlin; Znojmo; Zdar nad Sazavou; Bruntal; Frydek - Mistek; Jesenik; Karvina; Novy Jicin; Olomouc; Opava; Ostrava - mesto; Prerov; Sumperk; Vsetin
district,"(77, 16)",region,varchar(255),255,Prague; central Bohemia; south Bohemia; west Bohemia; north Bohemia; east Bohemia; south Moravia; north Moravia
district,"(77, 16)",noOfInhabitants,int(11),,1204953; 88884; 75232; 149893; 95616; 77963; 94725; 112065; 81344; 92084
district,"(77, 16)",<499,int(11),,0; 80; 55; 63; 65; 60; 38; 95; 61; 35
district,"(77, 16)",500-1999,int(11),,0; 26; 29; 30; 23; 28; 19; 36; 22; 27
district,"(77, 16)",2000-9999,int(11),,0; 6; 4; 1; 7; 9; 10; 2; 3; 5
district,"(77, 16)",>10000,int(11),,1; 2; 3; 0; 4; 5
district,"(77, 16)",noOfCities,int(11),,1; 5; 6; 4; 8; 7; 2; 9; 10; 11
district,"(77, 16)",ratioInhabitants,int(11),,100; 47; 42; 67; 51; 52; 63; 69; 55; 37
district,"(77, 16)",avgSalary,int(11),,12541; 8507; 8980; 9753; 9307; 8546; 9920; 11277; 8899; 10124
district,"(77, 16)",unemploymentRate95,int(11),,0; 2; 5; 4; 3; 1; 6; 7
district,"(77, 16)",unemploymentRate96,int(11),,0; 2; 5; 4; 3; 1; 8; 9; 7; 6
district,"(77, 16)",noEnterpreneursPer1000,int(11),,167; 132; 111; 109; 118; 126; 130; 127; 149; 141
district,"(77, 16)",noOfCrime95,int(11),,85677; 2159; 2824; 5244; 2616; 2640; 4289; 5179; 2987; 3810
district,"(77, 16)",noOfCrime96,int(11),,99107; 2674; 2813; 5892; 3040; 3120; 4846; 4987; 2487; 4316
loan,"(682, 7)",loan_id,int(11),,4959; 4961; 4962; 4967; 4968; 4973; 4986; 4988; 4989; 4990
loan,"(682, 7)",account_id,int(11),,2; 19; 25; 37; 38; 67; 97; 103; 105; 110
loan,"(682, 7)",date,date,,1994-01-05; 1996-04-29; 1997-12-08; 1998-10-14; 1998-04-19; 1996-05-02; 1997-08-10; 1997-12-06; 1998-12-05; 1997-09-08
loan,"(682, 7)",amount,int(11),,80952; 30276; 318480; 110736; 165960; 102876; 265320; 352704; 162576; 88440
loan,"(682, 7)",duration,int(11),,24; 12; 60; 48; 36
